Class ID,Preferred Label
http://purl.jp/bio/11/csso/CSSO_000024,Head symptom
http://purl.jp/bio/11/csso/CSSO_000097,Deep abscess
http://purl.jp/bio/11/csso/CSSO_000253,Depression
http://purl.jp/bio/11/csso/CSSO_000184,Pleural effusion
http://purl.jp/bio/11/csso/CSSO_000016,Ear symptom
http://purl.jp/bio/11/csso/CSSO_000103,Discharge from penis
http://purl.jp/bio/11/csso/CSSO_000268,Swollen mastoid
http://purl.jp/bio/11/csso/CSSO_000123,Granuloma
http://purl.jp/bio/11/csso/CSSO_000163,Multiple organ failure
http://purl.jp/bio/11/csso/CSSO_000036,Musculoskeletal system symptom
http://purl.jp/bio/11/csso/CSSO_000155,Lymphadenitis
http://purl.jp/bio/11/csso/CSSO_000201,Sensory loss
http://purl.jp/bio/11/csso/CSSO_000262,Suppurative inflammation
http://purl.jp/bio/11/csso/CSSO_000005,Abnormal breathing
http://purl.jp/bio/11/csso/CSSO_000112,Edema
http://purl.jp/bio/11/csso/CSSO_000070,Bleeding
http://purl.jp/bio/11/csso/CSSO_000282,Scrotal swelling
http://purl.jp/bio/11/csso/CSSO_000025,Heart symptom
http://purl.jp/bio/11/csso/CSSO_000090,Coma
http://purl.jp/bio/11/csso/CSSO_000219,Swelling of eyelid
http://purl.jp/bio/11/csso/CSSO_000269,Thrombocytopenia
http://purl.jp/bio/11/csso/CSSO_000045,Speech and voice system symptom
http://purl.jp/bio/11/csso/CSSO_000132,Hyperhidrosis
http://purl.jp/bio/11/csso/CSSO_000241,Vomiting
http://purl.jp/bio/11/csso/CSSO_000289,Blood count depression
http://purl.jp/bio/11/csso/CSSO_000210,Spontaneous abortion
http://purl.jp/bio/11/csso/CSSO_000004,Abnormal blood pressure
http://purl.jp/bio/11/csso/CSSO_000233,Urinary frequency
http://purl.jp/bio/11/csso/CSSO_000065,Ascites
http://purl.jp/bio/11/csso/CSSO_000014,"Cognition, perception, emotional state and behavior system symptom"
http://purl.jp/bio/11/csso/CSSO_000294,Skin tenderness
http://purl.jp/bio/11/csso/CSSO_000152,Loss of teeth
http://purl.jp/bio/11/csso/CSSO_000271,Hematemesis
http://purl.jp/bio/11/csso/CSSO_000034,Mouth symptom
http://purl.jp/bio/11/csso/CSSO_000172,Neoplasm
http://purl.jp/bio/11/csso/CSSO_000291,Uterine tenderness
http://purl.jp/bio/11/csso/CSSO_000121,Fever
http://purl.jp/bio/11/csso/CSSO_000144,Joint warm
http://purl.jp/bio/11/csso/CSSO_000085,Caseation
http://purl.jp/bio/11/csso/CSSO_000230,Tremor
http://purl.jp/bio/11/csso/CSSO_000208,Skin ulcer
http://purl.jp/bio/11/csso/CSSO_000164,Muscle cramp
http://purl.jp/bio/11/csso/CSSO_000250,Conjunctivitis
http://purl.jp/bio/11/csso/CSSO_000054,Abdominal cramp
http://purl.jp/bio/11/csso/CSSO_000228,Tight chest
http://purl.jp/bio/11/csso/CSSO_000077,Furuncle
http://purl.jp/bio/11/csso/CSSO_000222,Tachypnea
http://purl.jp/bio/11/csso/CSSO_000179,Paralysis
http://purl.jp/bio/11/csso/CSSO_000248,Arthropathy
http://purl.jp/bio/11/csso/CSSO_000242,Warm skin
http://purl.jp/bio/11/csso/CSSO_000298,Carditis
http://purl.jp/bio/11/csso/CSSO_000013,Circulatory system symptom
http://purl.jp/bio/11/csso/CSSO_000139,Jaundice
http://purl.jp/bio/11/csso/CSSO_000280,Scaling skin
http://purl.jp/bio/11/csso/CSSO_000258,Hemoptysis
http://purl.jp/bio/11/csso/CSSO_000133,Hypertension
http://purl.jp/bio/11/csso/CSSO_000074,Hematuria
http://purl.jp/bio/11/csso/CSSO_000161,Malodor
http://purl.jp/bio/11/csso/CSSO_000094,Cough
http://purl.jp/bio/11/csso/CSSO_000217,Swelling of breast
http://purl.jp/bio/11/csso/CSSO_000066,Asthenia
http://purl.jp/bio/11/csso/CSSO_000043,Skin symptom
http://purl.jp/bio/11/csso/CSSO_000159,Maculopapular rash
http://purl.jp/bio/11/csso/CSSO_000278,Stridor
http://purl.jp/bio/11/csso/CSSO_000153,Low back pain
http://purl.jp/bio/11/csso/CSSO_000237,Vascular lesion
http://purl.jp/bio/11/csso/CSSO_000086,Cellulitis
http://purl.jp/bio/11/csso/CSSO_000300,Reproductive system symptom
http://purl.jp/bio/11/csso/CSSO_000231,Trismus
http://purl.jp/bio/11/csso/CSSO_000173,Neurological deficit
http://purl.jp/bio/11/csso/CSSO_000229,Toothache
http://purl.jp/bio/11/csso/CSSO_000193,Rectal pain
http://purl.jp/bio/11/csso/CSSO_000257,Gastric pain
http://purl.jp/bio/11/csso/CSSO_000251,Decreased urination
http://purl.jp/bio/11/csso/CSSO_000055,Abdominal discomfort
http://purl.jp/bio/11/csso/CSSO_000211,Sputum
http://purl.jp/bio/11/csso/CSSO_000148,Leukocytosis
http://purl.jp/bio/11/csso/CSSO_000267,Spasm
http://purl.jp/bio/11/csso/CSSO_000083,Breast tenderness
http://purl.jp/bio/11/csso/CSSO_000168,Nausea
http://purl.jp/bio/11/csso/CSSO_000162,Meningismus
http://purl.jp/bio/11/csso/CSSO_000287,Ketoacidosis
http://purl.jp/bio/11/csso/CSSO_000002,Abdominal symptom
http://purl.jp/bio/11/csso/CSSO_000075,Bloody diarrhea
http://purl.jp/bio/11/csso/CSSO_000095,Deafness
http://purl.jp/bio/11/csso/CSSO_000246,Nutritional deficiency
http://purl.jp/bio/11/csso/CSSO_000182,Phlegm
http://purl.jp/bio/11/csso/CSSO_000218,Swelling of skin
http://purl.jp/bio/11/csso/CSSO_000141,Joint stiffness
http://purl.jp/bio/11/csso/CSSO_000260,Nephritis
http://purl.jp/bio/11/csso/CSSO_000283,Urethral discharge
http://purl.jp/bio/11/csso/CSSO_000119,Fatigue
http://purl.jp/bio/11/csso/CSSO_000238,Vesicle
http://purl.jp/bio/11/csso/CSSO_000101,Diaphoresis
http://purl.jp/bio/11/csso/CSSO_000220,Swallowing painful
http://purl.jp/bio/11/csso/CSSO_000276,Drooling
http://purl.jp/bio/11/csso/CSSO_000299,Foreign body sensation
http://purl.jp/bio/11/csso/CSSO_000129,Hepatomegaly
http://purl.jp/bio/11/csso/CSSO_000157,Lymphangitis
http://purl.jp/bio/11/csso/CSSO_000226,Tenesmus
http://purl.jp/bio/11/csso/CSSO_000304,Hyperplasia
http://purl.jp/bio/11/csso/CSSO_000084,Burning on urination
http://purl.jp/bio/11/csso/CSSO_000194,Rectorrhagia
http://purl.jp/bio/11/csso/CSSO_000240,Visual disturbance
http://purl.jp/bio/11/csso/CSSO_000296,Purulent sputum
http://purl.jp/bio/11/csso/CSSO_000149,Leukopenia
http://purl.jp/bio/11/csso/CSSO_000272,Development symptom
http://purl.jp/bio/11/csso/CSSO_000009,Blood abnormality
http://purl.jp/bio/11/csso/CSSO_000003,Abnormal behavior
http://purl.jp/bio/11/csso/CSSO_000191,Raised intracranial pressure
http://purl.jp/bio/11/csso/CSSO_000169,Neck pain
http://purl.jp/bio/11/csso/CSSO_000247,Abdominal distention
http://purl.jp/bio/11/csso/CSSO_000189,Proteinuria
http://purl.jp/bio/11/csso/CSSO_000110,Dysuria
http://purl.jp/bio/11/csso/CSSO_000292,Blood coagulation
http://purl.jp/bio/11/csso/CSSO_000128,Hemolytic anemia
http://purl.jp/bio/11/csso/CSSO_000023,Head and neck symptom
http://purl.jp/bio/11/csso/CSSO_000235,Vaginal bleeding
http://purl.jp/bio/11/csso/CSSO_000207,Skin lesion
http://purl.jp/bio/11/csso/CSSO_000171,Necrosis
http://purl.jp/bio/11/csso/CSSO_000130,Hepatosplenomegaly
http://purl.jp/bio/11/csso/CSSO_000108,Dysphagia
http://purl.jp/bio/11/csso/CSSO_000227,Throat pain
http://purl.jp/bio/11/csso/CSSO_000158,Lymphocytosis
http://purl.jp/bio/11/csso/CSSO_000178,Papulovesicular rash
http://purl.jp/bio/11/csso/CSSO_000122,Gallbladder pain
http://purl.jp/bio/11/csso/CSSO_000063,Apnea
http://purl.jp/bio/11/csso/CSSO_000018,Eyelid symptom
http://purl.jp/bio/11/csso/CSSO_000150,Photophobia
http://purl.jp/bio/11/csso/CSSO_000012,Chest symptom
http://purl.jp/bio/11/csso/CSSO_000305,Polyp
http://purl.jp/bio/11/csso/CSSO_000206,Skin irritation
http://purl.jp/bio/11/csso/CSSO_000200,Seizure
http://purl.jp/bio/11/csso/CSSO_000279,Hemorrhagic rash
http://purl.jp/bio/11/csso/CSSO_000032,Lymphatic system symptom
http://purl.jp/bio/11/csso/CSSO_000142,Joint swelling
http://purl.jp/bio/11/csso/CSSO_000198,Rose spots
http://purl.jp/bio/11/csso/CSSO_000216,Swelling
